id,name,party,partyLabel,votes,election,electionLabel,ranking
Q7787999,Thomas Buchanan,Q215519,Democratic Unionist Party,9064,Q28231972,2017 Assembly election,1
Q6835582,Michaela Boyle,Q76382,Sinn Féin,7714,Q28231972,2017 Assembly election,2
Q4864486,Barry McElduff,Q76382,Sinn Féin,7573,Q28231972,2017 Assembly election,3
Q22006766,Daniel McCrossan,Q175443,Social Democratic and Labour Party,7681.60,Q28231972,2017 Assembly election,4
Q5249360,Declan McAleer,Q76382,Sinn Féin,7034.99,Q28231972,2017 Assembly election,5
,Alicia Clarke,Q841045,Ulster Unionist Party,6274.54,Q28231972,2017 Assembly election,6
,Charlie Chittick,Q985076,Traditional Unionist Voice,1428.97,Q28231972,2017 Assembly election,7
,Stephen Donnelly,Q244927,Alliance Party of Northern Ireland,1265.60,Q28231972,2017 Assembly election,8
,Sorcha McAnespy,Q327591,Independent politician,874.93,Q28231972,2017 Assembly election,9
,Ciaran McClean,Q1096979,Green Party in Northern Ireland,418.19,Q28231972,2017 Assembly election,10
,Barry Brown,Q19903723,Cannabis Is Safer Than Alcohol,385.42,Q28231972,2017 Assembly election,11
,Corey French,Q327591,Independent politician,101.56,Q28231972,2017 Assembly election,12
,Roisin McMackin,Q327591,Independent politician,86.48,Q28231972,2017 Assembly election,13
Q20714126,Susan-Anne White,Q327591,Independent politician,45.28,Q28231972,2017 Assembly election,14
,Roger Lomas,Q7058484,Northern Ireland Conservatives,32.19,Q28231972,2017 Assembly election,15
Q22006766,Daniel McCrossan,Q175443,Social Democratic and Labour Party,5552,Q16973450,2016 Assembly election,1
Q7787999,Thomas Buchanan,Q215519,Democratic Unionist Party,8370,Q16973450,2016 Assembly election,2
Q7369415,Ross Hussey,Q841045,Ulster Unionist Party,5932.08,Q16973450,2016 Assembly election,3
Q4864486,Barry McElduff,Q76382,Sinn Féin,5262.56,Q16973450,2016 Assembly election,4
Q6835582,Michaela Boyle,Q76382,Sinn Féin,4992.84,Q16973450,2016 Assembly election,5
Q5249360,Declan McAleer,Q76382,Sinn Féin,4016.92,Q16973450,2016 Assembly election,6
,Grace McDermott,Q76382,Sinn Féin,3992,Q16973450,2016 Assembly election,7
Q4730490,Allan Bresland,Q215519,Democratic Unionist Party,3952,Q16973450,2016 Assembly election,8
,Josephine Deehan,Q327591,Independent politician,2607,Q16973450,2016 Assembly election,9
,Sorcha McAnespy,Q327591,Independent politician,1003,Q16973450,2016 Assembly election,10
,Patsy Kelly,Q327591,Independent politician,763,Q16973450,2016 Assembly election,11
,Ciaran McClean,Q1096979,Green Party in Northern Ireland,714,Q16973450,2016 Assembly election,12
,Barry Brown,Q19903723,Cannabis Is Safer Than Alcohol,612,Q16973450,2016 Assembly election,13
,Stephen Donnelly,Q244927,Alliance Party of Northern Ireland,506,Q16973450,2016 Assembly election,14
,Laura McAnea,Q547623,Animal Welfare Party,225,Q16973450,2016 Assembly election,15
,Corey French,Q327591,Independent politician,125,Q16973450,2016 Assembly election,16
Q20714126,Susan-Anne White,Q327591,Independent politician,86,Q16973450,2016 Assembly election,17
,Roger Lomas,Q7058484,Northern Ireland Conservatives,44,Q16973450,2016 Assembly election,18
Q4864486,Barry McElduff,Q76382,Sinn Féin,6008,Q7058474,2011 Assembly election,1
Q300269,Pat Doherty,Q76382,Sinn Féin,5630,Q7058474,2011 Assembly election,2
Q6835582,Michaela Boyle,Q76382,Sinn Féin,7791.94,Q7058474,2011 Assembly election,3
Q6208911,Joe Byrne,Q175443,Social Democratic and Labour Party,5320.98,Q7058474,2011 Assembly election,4
Q7787999,Thomas Buchanan,Q215519,Democratic Unionist Party,5162.80,Q7058474,2011 Assembly election,5
Q7369415,Ross Hussey,Q841045,Ulster Unionist Party,4397.94,Q7058474,2011 Assembly election,6
Q4730490,Allan Bresland,Q215519,Democratic Unionist Party,4123.78,Q7058474,2011 Assembly election,7
Q5249360,Declan McAleer,Q76382,Sinn Féin,3576.40,Q7058474,2011 Assembly election,8
Q7123537,Paddy McGowan,Q327591,Independent (politician),1158.92,Q7058474,2011 Assembly election,9
Q5407530,Eugene McMenamin,Q327591,Independent (politician),1099.18,Q7058474,2011 Assembly election,10
,Eric Bullick,Q244927,Alliance Party of Northern Ireland,854.04,Q7058474,2011 Assembly election,11
Q4864486,Barry McElduff,Q76382,Sinn Féin,6971,Q2562399,2007 Assembly election,1
